"f07_hh_id","s08_heads_child_cnt","s08_girls_cnt","s08_age_cnt","s08_duration_village_cnt","s08_age_head_cnt","s08_yrs_ed_head_cnt","s08_num_ppl_hh_cnt","s08_jeribs_cnt","s08_num_sheep_cnt","s08_farsi_cnt","s08_tajik_cnt","s08_farmer_cnt","s08_test_observed","f07_heads_child_cnt","f07_girl_cnt","f07_age_cnt","f07_age_head_cnt","f07_yrs_ed_head_cnt","f07_jeribs_cnt","f07_num_sheep_cnt","f07_duration_village_cnt","f07_farsi_cnt","f07_tajik_cnt","f07_farmer_cnt","f07_num_ppl_hh_cnt","f07_test_observed","f07_observed","s08_observed","treatment","clustercode","chagcharan","f07_formal_school","s08_formal_school","f07_nearest_scl","s08_nearest_scl","f07_both_norma_total","s08_both_norma_total","s08_hh_id","observation_id"
"V19.A01",1,0,10,12,30,0,10,2,6,0,0,1,1,0,0,6,35,0,1.5,7,70,0,0,1,9,1,1,1,1,12,0,1,1,1.02337872982025,0.684396982192993,0.417466521263123,-0.1412293612957,"V19.Q01N",1090
"V19.A01",1,0,11,12,30,0,10,2,6,0,0,1,1,0,0,10,35,0,1.5,7,70,0,0,1,9,1,1,1,1,12,0,1,1,1.02337872982025,0.684396982192993,1.75862193107605,2.42181348800659,"V19.Q01N",1091
"V19.L03",1,1,7,13,50,0,9,1,10,0,0,1,1,1,1,6,50,3,2,15,50,0,0,1,9,1,1,1,1,12,0,0,0,0.639676928520203,0.64064347743988,-1.32603549957275,-1.02227532863617,"V19.Q02N",1092
"V19.L03",1,1,10,13,50,0,9,1,10,0,0,1,1,1,1,10,50,3,2,15,50,0,0,1,9,1,1,1,1,12,0,0,0,0.639676928520203,0.64064347743988,0.149235442280769,0.179150998592377,"V19.Q02N",1093
"NM",1,0,11,50,50,0,7,1,3,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,12,0,NA,0,NA,0.41772386431694,NA,2.10143303871155,"V19.Q03N",1094
"V19.P04",1,1,10,50,50,0,7,1,3,1,0,1,1,1,1,10,70,0,0.5,7,70,0,1,1,7,1,1,1,1,12,0,1,1,0.442914336919785,0.41772386431694,0.685697615146637,0.81991171836853,"V19.Q03N",1095
"V19.P04",1,1,7,50,50,0,7,1,3,1,0,1,1,1,1,7,70,0,0.5,7,70,0,1,1,7,1,1,1,1,12,0,0,0,0.442914336919785,0.41772386431694,-1.19191992282867,-0.942180216312408,"V19.Q03N",1096
"NM",1,0,8,20,50,0,6,2,3,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,12,0,NA,0,NA,0.0257228314876556,NA,-1.02227532863617,"V19.Q04N",1097
"V19.L08",1,1,10,20,50,0,6,2,3,1,0,1,1,1,1,8,32,2,2,10,32,1,0,1,5,0,1,1,1,12,0,1,1,0.109606370329857,0.0257228314876556,NA,-0.1412293612957,"V19.Q04N",1098
"V19.J06",1,0,10,60,60,2,6,0.5,5,1,0,1,1,1,0,9,60,2,1,10,60,0,0,1,7,1,1,1,1,12,0,1,1,0.474565654993057,0.468271315097809,0.685697615146637,0.900006771087646,"V19.R01N",1099
"V19.G05",1,0,7,35,NA,0,6,0.5,10,1,0,1,1,1,0,7,40,1,1,5,40,0,0,1,5,1,1,1,1,12,0,0,0,0.478687077760696,0.456349015235901,-1.19191992282867,-0.701894998550415,"V19.R02N",1100
"V19.G04",1,0,9,30,30,0,7,0.5,0,1,0,1,1,1,0,9,40,1,0,0,20,0,0,1,7,1,1,1,1,12,0,1,1,0.478687077760696,0.468271315097809,0.685697615146637,0.980101883411407,"V19.R03N",1101
